Average private Cpu usage,  0.25 , Average private memory usage,  0.8 , Average private disks usage,  1.1 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  0.4 , Average private memory usage,  2.65 , Average private disks usage,  2.5 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  0.65 , Average private memory usage,  5.05 , Average private disks usage,  5.2 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  0.4 , Average private memory usage,  4.25 , Average private disks usage,  4.1 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  0.75 , Average private memory usage,  5.8 , Average private disks usage,  6.6 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  1.15 , Average private memory usage,  6.2 , Average private disks usage,  9.65 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  1.4 , Average private memory usage,  7.7 , Average private disks usage,  11.75 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  1.5 , Average private memory usage,  10.9 , Average private disks usage,  13.75 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  1.7 , Average private memory usage,  11.55 , Average private disks usage,  15.65 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  1.9 , Average private memory usage,  14.2 , Average private disks usage,  17.15 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  2.15 , Average private memory usage,  15.05 , Average private disks usage,  17.95 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  2.3 , Average private memory usage,  17.2 , Average private disks usage,  18.4 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  2.65 , Average private memory usage,  19.7 , Average private disks usage,  20.3 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  3.05 , Average private memory usage,  20.4 , Average private disks usage,  21.8 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  2.65 , Average private memory usage,  19.7 , Average private disks usage,  20.3 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  2.75 , Average private memory usage,  21.2 , Average private disks usage,  23.35 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  2.95 , Average private memory usage,  21.55 , Average private disks usage,  25.7 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  3.05 , Average private memory usage,  24.2 , Average private disks usage,  27.0 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  3.15 , Average private memory usage,  25.6 , Average private disks usage,  27.75 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  3.55 , Average private memory usage,  25.85 , Average private disks usage,  28.75 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  3.75 , Average private memory usage,  28.2 , Average private disks usage,  29.4 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  3.95 , Average private memory usage,  29.05 , Average private disks usage,  30.35 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  3.85 , Average private memory usage,  25.85 , Average private disks usage,  28.35 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  3.45 , Average private memory usage,  25.6 , Average private disks usage,  27.35 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  3.85 , Average private memory usage,  27.2 , Average private disks usage,  28.8 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  3.75 , Average private memory usage,  24.55 , Average private disks usage,  27.5 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  4.0 , Average private memory usage,  25.1 , Average private disks usage,  30.65 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  3.75 , Average private memory usage,  24.25 , Average private disks usage,  29.85 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  4.0 , Average private memory usage,  27.45 , Average private disks usage,  32.75 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  4.1 , Average private memory usage,  27.55 , Average private disks usage,  33.4 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  4.3 , Average private memory usage,  27.8 , Average private disks usage,  36.15 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  4.45 , Average private memory usage,  28.2 , Average private disks usage,  36.8 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  4.7 , Average private memory usage,  31.0 , Average private disks usage,  38.25 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  5.1 , Average private memory usage,  34.0 , Average private disks usage,  40.15 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  5.4 , Average private memory usage,  37.15 , Average private disks usage,  40.9 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  5.55 , Average private memory usage,  37.7 , Average private disks usage,  42.8 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  5.2 , Average private memory usage,  35.2 , Average private disks usage,  40.9 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  5.0 , Average private memory usage,  32.85 , Average private disks usage,  40.25 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  4.85 , Average private memory usage,  32.45 , Average private disks usage,  39.6 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  5.05 , Average private memory usage,  33.3 , Average private disks usage,  41.25 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  5.45 , Average private memory usage,  36.0 , Average private disks usage,  42.4 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  5.65 , Average private memory usage,  37.25 , Average private disks usage,  43.75 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  5.8 , Average private memory usage,  38.3 , Average private disks usage,  46.5 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  5.95 , Average private memory usage,  39.1 , Average private disks usage,  47.55 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  6.35 , Average private memory usage,  40.75 , Average private disks usage,  49.05 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  6.65 , Average private memory usage,  42.9 , Average private disks usage,  49.9 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  6.8 , Average private memory usage,  43.4 , Average private disks usage,  51.0 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  6.55 , Average private memory usage,  41.0 , Average private disks usage,  48.3 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  6.6 , Average private memory usage,  41.55 , Average private disks usage,  49.05 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  7.0 , Average private memory usage,  44.0 , Average private disks usage,  51.25 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  7.3 , Average private memory usage,  46.3 , Average private disks usage,  53.8 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  7.7 , Average private memory usage,  47.6 , Average private disks usage,  56.65 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  7.3 , Average private memory usage,  45.15 , Average private disks usage,  54.45 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  7.6 , Average private memory usage,  47.3 , Average private disks usage,  56.95 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  7.8 , Average private memory usage,  49.85 , Average private disks usage,  59.45 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  8.1 , Average private memory usage,  51.75 , Average private disks usage,  62.35 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  8.25 , Average private memory usage,  52.8 , Average private disks usage,  63.45 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  8.45 , Average private memory usage,  55.75 , Average private disks usage,  65.65 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  8.25 , Average private memory usage,  54.9 , Average private disks usage,  64.7 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  8.35 , Average private memory usage,  55.65 , Average private disks usage,  64.75 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  8.1 , Average private memory usage,  52.85 , Average private disks usage,  63.3 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  8.4 , Average private memory usage,  53.3 , Average private disks usage,  65.3 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  8.8 , Average private memory usage,  53.35 , Average private disks usage,  67.75 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  8.95 , Average private memory usage,  54.55 , Average private disks usage,  68.85 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  9.1 , Average private memory usage,  56.7 , Average private disks usage,  70.75 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  9.4 , Average private memory usage,  59.25 , Average private disks usage,  71.9 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  9.25 , Average private memory usage,  58.75 , Average private disks usage,  70.8 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  9.6 , Average private memory usage,  58.95 , Average private disks usage,  71.15 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  9.85 , Average private memory usage,  60.05 , Average private disks usage,  74.1 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  9.7 , Average private memory usage,  59.5 , Average private disks usage,  72.2 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  9.85 , Average private memory usage,  59.9 , Average private disks usage,  74.25 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  10.25 , Average private memory usage,  60.15 , Average private disks usage,  76.4 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  10.55 , Average private memory usage,  61.25 , Average private disks usage,  79.35 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  10.6 , Average private memory usage,  62.6 , Average private disks usage,  80.95 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  10.65 , Average private memory usage,  63.5 , Average private disks usage,  82.05 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  11.05 , Average private memory usage,  65.85 , Average private disks usage,  84.2 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  11.4 , Average private memory usage,  67.8 , Average private disks usage,  85.85 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  11.65 , Average private memory usage,  69.65 , Average private disks usage,  87.55 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  11.55 , Average private memory usage,  68.9 , Average private disks usage,  87.5 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  11.75 , Average private memory usage,  69.8 , Average private disks usage,  87.95 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  11.95 , Average private memory usage,  72.7 , Average private disks usage,  89.45 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  12.05 , Average private memory usage,  73.3 , Average private disks usage,  91.7 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  11.85 , Average private memory usage,  72.45 , Average private disks usage,  90.05 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
