Average private Cpu usage,  0.00078125 , Average private memory usage,  0.00140881147541 , Average private disks usage,  0.000130208333333 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  0.003125 , Average private memory usage,  0.00202356557377 , Average private disks usage,  0.001015625 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  0.009375 , Average private memory usage,  0.00330430327869 , Average private disks usage,  0.00184895833333 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  0.01484375 , Average private memory usage,  0.00399590163934 , Average private disks usage,  0.00239583333333 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  0.0203125 , Average private memory usage,  0.00560963114754 , Average private disks usage,  0.00401041666667 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  0.02421875 , Average private memory usage,  0.00596823770492 , Average private disks usage,  0.00513020833333 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  0.0296875 , Average private memory usage,  0.00607069672131 , Average private disks usage,  0.00549479166667 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  0.0328125 , Average private memory usage,  0.00717213114754 , Average private disks usage,  0.007109375 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  0.0390625 , Average private memory usage,  0.00760758196721 , Average private disks usage,  0.008125 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  0.04375 , Average private memory usage,  0.00819672131148 , Average private disks usage,  0.00950520833333 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  0.04375 , Average private memory usage,  0.00819672131148 , Average private disks usage,  0.00950520833333 , Average public Cpu usage,  0.046875 , Average public memory usage,  0.0286885245902 , Average public disks usage,  0.0119791666667 , Number of public machines,  1 
